movie_id,title,production_year,votes,vote_mean,vote_sd,theat_gross_dollars,theat_last_date,role,count,count_male,mean_age,wmean_age,count_female,status,bechdel_test
890685,Whiplash,2014,377629,7.5,2.5,13092000,2016-08-02,director,1,1,29,29,0,all male,1
890685,Whiplash,2014,377629,7.5,2.5,13092000,2016-08-02,writer,1,1,29,29,0,all male,1
891069,White Chicks,2004,96735,6.17,2.587,70831760,2016-08-02,actsin,40,21,31.325,35.5864331673789,19,mixed,3
891069,White Chicks,2004,96735,6.17,2.587,70831760,2016-08-02,director,1,1,46,46,0,all male,3
891069,White Chicks,2004,96735,6.17,2.587,70831760,2016-08-02,writer,6,6,37,46,0,all male,3
891169,White Fang,1991,15526,6.23,2.109,34793160,2016-08-02,actsin,11,10,36.3636363636364,40.5776436843797,1,mixed,1
891169,White Fang,1991,15526,6.23,2.109,34793160,2016-08-02,director,1,1,45,45,0,all male,1
891169,White Fang,1991,15526,6.23,2.109,34793160,2016-08-02,writer,1,1,100,100,0,all male,1
891247,White House Down,2013,160037,6.05,2.121,73103784,2016-08-02,actsin,39,30,43.1794871794872,42.6842072460415,9,mixed,2
891247,White House Down,2013,160037,6.05,2.121,73103784,2016-08-02,director,1,1,58,58,0,all male,2
891253,White Hunter Black Heart,1990,8481,6.05,2.121,2319124,2016-08-02,actsin,20,16,45.1,52.2405936925968,4,mixed,1
891253,White Hunter Black Heart,1990,8481,6.05,2.121,2319124,2016-08-02,director,1,1,60,60,0,all male,1
891253,White Hunter Black Heart,1990,8481,6.05,2.121,2319124,2016-08-02,writer,4,4,65.5,69.9999999999182,0,all male,1
891399,White Nights,1985,5195,6.05,2.121,42160849,2016-08-02,actsin,16,12,39.875,41.9155766805771,4,mixed,1
891399,White Nights,1985,5195,6.05,2.121,42160849,2016-08-02,director,1,1,41,41,0,all male,1
891399,White Nights,1985,5195,6.05,2.121,42160849,2016-08-02,writer,3,2,52,57.9999999990728,1,mixed,1
891411,White Noise,2005,41384,5.5,2.062,56386759,2016-08-02,actsin,17,10,36.7647058823529,40.3814199719682,7,mixed,1
891411,White Noise,2005,41384,5.5,2.062,56386759,2016-08-02,writer,1,1,40,40,0,all male,1
891429,White Oleander,2002,25296,6.88,2.386,16346122,2002-12-08,actsin,31,15,31.7096774193548,42.0089990024714,16,mixed,3
891429,White Oleander,2002,25296,6.88,2.386,16346122,2002-12-08,director,1,1,46,46,0,all male,3
891713,Whiteout,2009,31574,5.5,2.062,10275638,2009-12-17,actsin,12,10,38.6666666666667,41.4540635910162,2,mixed,3
891713,Whiteout,2009,31574,5.5,2.062,10275638,2009-12-17,director,1,1,60,60,0,all male,3
891713,Whiteout,2009,31574,5.5,2.062,10275638,2009-12-17,writer,2,2,48,48,0,all male,3
891892,Who Framed Roger Rabbit,1988,137685,6.96,2.312,156452370,2016-08-02,actsin,57,45,50.2631578947368,45.494276597906,12,mixed,1
891892,Who Framed Roger Rabbit,1988,137685,6.96,2.312,156452370,2016-08-02,director,1,1,36,36,0,all male,1
891892,Who Framed Roger Rabbit,1988,137685,6.96,2.312,156452370,2016-08-02,writer,1,1,37,37,0,all male,1
892327,Who's Afraid of Virginia Woolf?,1966,55345,7.38,2.563,2.8e+07,1968-01-31,actsin,6,3,43.6666666666667,41.8487877092957,3,mixed,1
892327,Who's Afraid of Virginia Woolf?,1966,55345,7.38,2.563,2.8e+07,1968-01-31,director,1,1,35,35,0,all male,1
892327,Who's Afraid of Virginia Woolf?,1966,55345,7.38,2.563,2.8e+07,1968-01-31,writer,2,2,44.5,44.5,0,all male,1
893793,Wilbur Wants to Kill Himself,2002,6793,6.35,2.264,233053,2004-06-13,actsin,11,6,34.6363636363636,35.8989690536518,5,mixed,3
893793,Wilbur Wants to Kill Himself,2002,6793,6.35,2.264,233053,2004-06-13,director,1,0,43,43,1,all female,3
893793,Wilbur Wants to Kill Himself,2002,6793,6.35,2.264,233053,2004-06-13,writer,2,1,36.5,43,1,mixed,3
893807,Wild,2014,83187,6.41,2.167,37880356,2016-08-02,actsin,26,18,42.9615384615385,40.8737739998991,8,mixed,3
893807,Wild,2014,83187,6.41,2.167,37880356,2016-08-02,director,1,1,51,51,0,all male,3
893807,Wild,2014,83187,6.41,2.167,37880356,2016-08-02,writer,1,1,57,57,0,all male,3
893828,Wild America,1997,5297,6.35,2.515,7324662,1997-08-17,actsin,17,11,34.9411764705882,31.0050100413177,6,mixed,2
893828,Wild America,1997,5297,6.35,2.515,7324662,1997-08-17,director,1,1,53,53,0,all male,2
893855,Wild at Heart,1990,60373,6.88,2.386,14560247,2016-08-02,actsin,38,27,42.8684210526316,36.0848990799356,11,mixed,2
893855,Wild at Heart,1990,60373,6.88,2.386,14560247,2016-08-02,director,1,1,44,44,0,all male,2
893855,Wild at Heart,1990,60373,6.88,2.386,14560247,2016-08-02,writer,2,2,44,44,0,all male,2
894005,Wild Hogs,2007,98753,5.85,2.128,168273550,2007-08-02,actsin,40,30,42,48.0571005011451,10,mixed,1
894005,Wild Hogs,2007,98753,5.85,2.128,168273550,2007-08-02,director,1,1,39,39,0,all male,1
894125,Wild Orchid,1989,8786,5.06,2.321,11060485,2016-08-02,actsin,12,7,33.4166666666667,36.6780285467229,5,mixed,3
894125,Wild Orchid,1989,8786,5.06,2.321,11060485,2016-08-02,director,1,1,47,47,0,all male,3
894125,Wild Orchid,1989,8786,5.06,2.321,11060485,2016-08-02,writer,1,1,47,47,0,all male,3
